[Wed Sep 13 23:23:59 2023] ThreadID[22648]	Start Program.
[Wed Sep 13 23:23:59 2023] ThreadID[22648]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Wed Sep 13 23:23:59 2023] ThreadID[22648]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Sep 13 23:23:59 2023] ThreadID[22648]	[ERROR]	Game level not found: ../GameLevel.txt
[Wed Sep 13 23:23:59 2023] ThreadID[22648]	[ERROR]	Fatal error reading game level, aborting level load.
[Wed Sep 13 23:25:49 2023] ThreadID[21364]	Start Program.
[Wed Sep 13 23:25:49 2023] ThreadID[21364]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Wed Sep 13 23:25:49 2023] ThreadID[21364]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Sep 13 23:25:49 2023] ThreadID[21364]	[ERROR]	Game level not found: ../GameLevel.txt
[Wed Sep 13 23:25:49 2023] ThreadID[21364]	[ERROR]	Fatal error reading game level, aborting level load.
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	Start Program.
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Collectible_Gear_Gear
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 5.271600 Y 2.691400 Z 5.183700
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Platform_4x2_Cube.076
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 5.150000 Y 1.748000 Z 5.139900
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Platform_4x4_Cube.099
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -6.003800 Y 2.983700 Z 7.418100
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Support_Short_Plane
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 6.208700 Y 1.353500 Z 5.148900
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Tank_Cylinder.006
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 1.450200 Y -0.085100 Z -1.178100
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: TV_2_Cylinder.016
